Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,5/2/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.036076338,0.035571365,0.035276479,0.035068032,0.034867503,0.034653036,0.03445009,0.034254787,0.034056466,0.033862147,0.033647376,0.03342246,0.033198878,0.033042559,0.032972287,0.033010927,0.033131233,0.033276209,0.033344448,0.033280085,0.033021282,0.032602494,0.032153824,0.031828888,0.031732936,0.031926441,0.032345188,0.032744478,0.032769695,0.032180727,0.030949212,0.029310471,0.027584685,0.026075619,0.024899158,0.024038462,0.023405226,0.022915545,0.022470648,0.022013582,0.021528989,0.021054405,0.020614944,0.020255831,0.019993802,0.019834973,0.019758941,0.019733012,0.019713562,0.01967168,0.01959766,0.019497548,0.019382287,0.019268751,0.019167921,,
Afghanistan,AFG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.834536593,0.823893511,0.81288414,0.801532283,0.784833475,0.771743947,0.756220939,0.739696724,0.724128439,0.707344328,0.691900603,0.674802976,0.657641924,0.641965157,0.628262138,0.616029268,0.605316778,0.597534291,0.594437612,0.597054581,0.605946673,0.620409431,0.638455747,0.656588735,0.67130327,0.681835363,0.687660989,0.685389201,0.671613398,0.645760991,0.608758566,0.56575848,0.518313924,0.476295915,0.447555873,0.429055141,0.418081011,0.411206553,0.394409802,0.382357584,0.366442351,0.349318785,0.33696294,0.324060152,0.311318371,0.301002763,0.292822666,0.285556941,0.278278385,0.270560526,0.262247304,0.253771074,0.245338351,0.23722435,0.230166181,,
Angola,AGO,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.464103748,0.460274791,0.454817783,0.451313824,0.446536593,0.44375627,0.44115389,0.438395405,0.436573936,0.427957047,0.418635396,0.408748112,0.398463306,0.387994228,0.37748232,0.367042286,0.356660224,0.34622124,0.33558907,0.324751677,0.3136998,0.302645876,0.291998379,0.282174703,0.273351731,0.265542549,0.258506928,0.251867992,0.245196744,0.238262668,0.234995236,0.231332525,0.223818229,0.216742631,0.210246076,0.204327883,0.198820583,0.193494483,0.188090534,0.182471496,0.176644469,0.176410512,0.181285124,0.174920475,0.168776009,0.162863242,0.161922597,0.156254165,0.177387155,0.17544512,0.194065999,0.187279722,0.188473572,0.182017652,0.175883785,,
Albania,ALB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.260272322,0.254774241,0.249628252,0.244193514,0.246676437,0.248097095,0.248270501,0.247246661,0.244992662,0.243973366,0.242246623,0.240735474,0.238597811,0.237008771,0.234112085,0.233879975,0.230749706,0.227178321,0.222703367,0.218937372,0.215696229,0.211544968,0.207105585,0.202793733,0.198666874,0.194863091,0.191334493,0.187758406,0.180300582,0.176173011,0.176932095,0.178008333,0.178787942,0.179888862,0.181003481,0.182131941,0.183592252,0.184431666,0.185603475,0.187113936,0.18887821,0.189445462,0.190155599,0.190951982,0.178649285,0.195151488,0.194611681,0.206968107,0.208025977,0.214897181,0.214099226,0.213453243,0.213153848,0.213076442,0.213524268,,
Andorra,AND,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.069565217,0.065061809,0.060931026,0.057244261,0.053911262,0.050898356,0.048174198,0.04568296,0.043368896,0.041192948,0.039125161,0.03718578,0.035420799,0.033875339,0.032567986,0.031469302,0.030514784,0.029641047,0.028720777,0.027726176,0.026666667,0.025566293,0.024469621,0.023415913,0.022421525,0.021497517,0.020637705,0.019827894,0.019066504,0.018345594,0.017645709,0.016981388,0.01640124,0.015954816,0.015661707,0.015537601,0.015545572,0.015590409,0.015535187,0.015292858,0.011137346,0.012134363,0.011751524,0.010623787,0.01014366,0.0096307,0.009312676,0.009062616,0.009116526,0.009117929,0.00919392,0.009219832,0.010026242,0.010224304,0.010382752,,
Arab World,ARB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.483752363,0.470914412,0.460387458,0.451443668,0.443334168,0.429897877,0.420312157,0.407494232,0.398062313,0.389335237,0.388124964,0.375216481,0.365924658,0.35858933,0.348493686,0.341458667,0.32978747,0.3205813,0.309478334,0.299029226,0.291546516,0.283672254,0.274182101,0.268536629,0.262188821,0.256179793,0.251294815,0.244810434,0.23869376,0.233292972,0.23022324,0.229614652,0.234501706,0.227958001,0.224467999,0.221828293,0.215578745,0.210801657,0.20539434,0.197493577,0.193214528,0.190768346,0.192931019,0.186599241,0.184812895,0.178595197,0.175638876,0.168920175,0.165198967,0.161959852,0.158216284,0.155737211,0.154259335,0.152056967,0.149423748,,
United Arab Emirates,ARE,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.049466748,0.044455509,0.039819696,0.036093526,0.033253083,0.037387604,0.035235461,0.032752164,0.029437739,0.029724118,0.025106884,0.021036182,0.020142305,0.019093524,0.01984399,0.017003044,0.016040272,0.014080177,0.012604512,0.01534943,0.016950665,0.015131836,0.018355067,0.018202807,0.01869089,0.01969817,0.018581191,0.017513674,0.016514402,0.018815444,0.017766263,0.018211104,0.018120825,0.018035922,0.017559478,0.017891732,0.016666605,0.012684341,0.014390117,0.019017885,0.021346758,0.021384385,0.017103464,0.015411219,0.014848582,0.009652745,0.007379137,0.007484468,0.006508928,0.006117995,0.005200361,0.004168327,0.004163769,0.004134114,0.004096435,,
Argentina,ARG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.887554606,0.900990535,0.906490844,0.910998665,0.91821756,0.955736249,0.974219529,1.025352089,1.097052201,1.084550832,1.067041434,1.049108401,1.031198187,1.013862384,0.997430657,0.981978726,0.967313545,0.953158108,0.939152525,0.925073067,0.910894735,0.931227568,0.916660674,0.902379153,0.888485728,0.874997132,0.855506459,0.829267849,0.820430206,0.811952701,0.803761701,0.795866285,0.788310675,0.78123474,0.774543337,0.768273414,0.76240508,0.756727285,0.751253791,0.745868874,0.740455902,0.735351366,0.748733097,0.794630421,0.840390596,0.881066178,0.911503523,0.873177662,0.840502412,0.921334714,0.930962687,0.944348682,0.933217442,0.91201997,0.902856239,,
Armenia,ARM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122864753,0.128750337,0.132474129,0.135204775,0.142035815,0.145224229,0.146364185,0.145677411,0.146599478,0.149148298,0.149972132,0.150771786,0.151635733,0.152620084,0.153084333,0.154139573,0.154871365,0.155577958,0.155874704,0.15621191,0.155590609,0.15489843,0.153980084,0.153139409,,
American Samoa,ASM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.048813824,0.047355211,0.045699662,0.044056745,0.042517007,0.04111673,0.039815257,0.038632413,0.037574209,0.036640774,0.035821751,0.035097571,0.03446612,0.0339121,0.033409061,0.032980443,0.032584965,0.032152273,0.031572633,0.030809995,0.029856985,0.028786919,0.027654867,0.026533645,0.02548355,0.024487597,0.023557126,0.022703022,0.021933191,0.021259407,0.020671835,0.024196963,0.023659306,0.023164682,0.028372551,0.037085798,0.036402687,0.042933042,0.044037344,0.043462388,0.042973786,0.042566958,0.056498131,0.055683045,0.055820562,0.056265985,0.051810787,0.051902507,0.05335515,0.053920952,0.054229935,0.054318305,0.054242682,0.054115482,0.054018042,,
